time,open,high,low,close,volume
2021-10-07,62.67,63.45,62.27,63.45,797200
2021-10-08,63.32,63.58,62.67,63.58,697000
2021-10-11,63.58,64.5,63.45,63.91,1096000
2021-10-12,64.44,64.44,63.58,63.58,761100
2021-10-13,64.17,64.24,63.58,63.58,1426300
2021-10-14,63.58,63.72,62.86,63.39,1784700
2021-10-15,63.45,63.78,63.26,63.26,731500
2021-10-18,63.13,63.58,62.27,62.93,1247900
2021-10-19,63.0,63.26,62.41,63.19,836300
2021-10-20,63.19,63.39,61.62,62.27,1561000
2021-10-21,62.54,62.93,61.62,61.62,1226100
2021-10-22,62.27,62.27,61.62,61.82,240000
2021-10-25,62.86,62.86,61.68,61.68,800600
2021-10-26,61.68,62.01,61.36,61.62,632000
2021-10-27,62.01,63.26,61.82,63.0,1428600
2021-10-28,63.32,64.17,63.0,64.17,1772600
2021-10-29,63.78,64.5,63.52,64.24,1263800
2021-11-01,64.31,64.37,63.58,63.58,1057500
2021-11-02,63.85,64.24,63.78,64.17,808300
2021-11-03,64.04,64.76,63.78,64.7,1830000
2021-11-04,64.7,64.76,63.72,64.5,989400
2021-11-05,63.91,64.9,63.58,63.91,1126300
2021-11-08,64.31,64.5,63.91,64.37,1184200
2021-11-09,64.24,64.63,63.58,63.65,1377600
2021-11-10,63.65,64.37,63.45,63.98,857100
2021-11-11,64.11,65.09,63.58,64.44,1115600
2021-11-12,64.44,64.44,63.91,64.37,614800
2021-11-15,64.44,64.9,63.72,64.04,766700
2021-11-16,64.04,64.57,63.58,63.72,706300
2021-11-17,63.72,64.31,63.72,64.24,788300
2021-11-18,64.44,64.44,63.58,63.58,709700
2021-11-19,63.72,64.17,63.65,63.65,413000
2021-11-22,63.78,64.83,63.65,64.76,1017300
2021-11-23,64.9,64.96,64.37,64.96,549200
2021-11-24,65.03,69.22,65.03,68.7,1883300
2021-11-25,68.83,70.8,68.57,70.21,1473200
2021-11-26,69.94,70.93,68.17,68.83,879600
2021-11-29,67.71,68.76,66.21,66.27,851000
2021-11-30,68.17,68.17,64.83,64.83,1336500
2021-12-01,65.16,66.53,64.44,64.9,551500
2021-12-02,65.75,66.08,64.76,64.96,787700
2021-12-03,65.03,66.08,63.91,64.24,795900
2021-12-06,64.24,65.55,62.54,62.54,1008600
2021-12-07,63.0,65.16,63.0,64.37,820000
2021-12-08,64.24,65.16,64.24,64.7,507500
2021-12-09,63.85,65.16,63.78,65.03,805400
2021-12-10,66.21,67.39,65.49,65.55,1881200
2021-12-13,66.86,66.86,65.03,65.29,1038000
2021-12-14,65.29,65.88,64.96,65.09,862300
2021-12-15,65.22,66.01,64.9,65.49,732300
2021-12-16,66.08,66.08,64.31,64.96,1047100
2021-12-17,65.55,65.55,63.26,63.26,3475700
2021-12-20,64.57,65.22,64.31,65.22,736900
2021-12-21,64.9,65.42,64.57,64.83,774100
